name	kind	file	line	compartment	status	tags	signature
Ravel.Matrix.EraseIndex.skip_injective	theorem	lean/Ravel/Matrix/EraseIndex.lean	61	matrix	lean-declaration	matrix	theorem skip_injective {n : ℕ} (k : Fin n) : Function.Injective (skip k) := by intro i j hij apply Fin.ext by_cases hi : i.val < k.val · by_cases hj : j.val < k.val · simpa [skip, hi, hj] using congrArg Fin.val hij · have hj' : k.val ≤ j.val := Nat.le_of_not_gt hj
block_det_reduction	theorem	lean/bp_correction_determinant.lean	76	matrix	lean-declaration	det,matrix	theorem block_det_reduction {V : Type*} [Fintype V] [DecidableEq V] (p : V → Prop) [DecidablePred p] (S : Matrix V V ℝ) (hS : ∀ u, ¬ p u → ∀ w, S u w = 0) : (1 + S).det = (1 + S.submatrix (fun a : {v // p v} => a.1) (fun b : {v // p v} => b.1)).det := by
main_reduction	theorem	lean/bp_correction_determinant.lean	117	matrix	lean-declaration	det,matrix	theorem main_reduction {V : Type*} [Fintype V] [DecidableEq V] (P E : Matrix V V ℝ) (π : Equiv.Perm V) (hP : ∀ u w, P u w = if π u = w then 1 else 0) (Rset : V → Prop) [DecidablePred Rset] (hE : ∀ u, ¬ Rset u → ∀ w, E u w = 0) (hDetP : P.det ≠ 0) : (P + E).det = P.det * (1 + E.submatrix (fun a : {v // Rset v} => a.1) (fun b : {v // Rset v} => π b.1)).det := by
det_A_full_eq_det_P	theorem	lean/bp_correction_determinant.lean	179	matrix	lean-declaration	det,matrix	theorem det_A_full_eq_det_P {m : ℕ} (detA detP : ℝ) (Eprime : Matrix (Fin m) (Fin m) ℝ) (hNil : RulerSequenceForcesNilpotent m Eprime) (hDetOne : NilpotentDetOne) (hReduction : detA = detP * (1 + Eprime).det) : detA = detP := by
contactKind_card	theorem	lean/class_ii_affine_shells.lean	48	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem contactKind_card : Fintype.card ContactKind = 14 := by native_decide
preContactKind_card	theorem	lean/class_ii_affine_shells.lean	73	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem preContactKind_card : Fintype.card PreContactKind = 16 := by native_decide
dContKind_card	theorem	lean/class_ii_affine_shells.lean	100	affine-catalogue	lean-declaration	affine,shell	theorem dContKind_card : Fintype.card DContKind = 9 := by native_decide
dContNode_in_preContact	theorem	lean/class_ii_affine_shells.lean	114	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem dContNode_in_preContact (kind : DContKind) : ∃ pre : PreContactKind, dContNode kind = preContactNode pre := by
preContactNode_backward_layer_partition	theorem	lean/class_ii_affine_shells.lean	136	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem preContactNode_backward_layer_partition (kind : PreContactKind) : (∃ seed : DContKind, preContactNode kind = dContNode seed) ∨ (∃ first : FirstBackwardKind, preContactNode kind = firstBackwardNode first) ∨ preContactNode kind = secondBackwardNode := by
preContactBackwardWitness_lattice_identity	theorem	lean/class_ii_affine_shells.lean	205	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem preContactBackwardWitness_lattice_identity (kind : PreContactBackwardWitnessKind) (a : Int) : signedBackwardDisplacement (preContactBackwardTypeOne kind) (classIIIncidenceMul a (preContactBackwardDestination kind)) (preContactBackwardPrefixes kind a).1 (preContactBackwardPrefixes kind a).2 = nodeDisplacement (preContactBackwardPredecessor kind) := by
dContFaceCandidateKind_card	theorem	lean/class_ii_affine_shells.lean	228	affine-catalogue	lean-declaration	affine,shell	theorem dContFaceCandidateKind_card : Fintype.card DContFaceCandidateKind = 33 := by
acceptedFaceCandidate_is_dCont	theorem	lean/class_ii_affine_shells.lean	276	affine-catalogue	lean-declaration	affine,shell	theorem acceptedFaceCandidate_is_dCont (kind : DContFaceCandidateKind) (h : dContFaceCandidateAccepted kind = true) : ∃ seed : DContKind, dContFaceCandidateNode kind = dContNode seed := by
preContactNode_partition	theorem	lean/class_ii_affine_shells.lean	295	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem preContactNode_partition (kind : PreContactKind) : (∃ contact : ContactKind, preContactNode kind = contactNode contact) ∨ (∃ excluded : ContactRedExcludedKind, preContactNode kind = contactRedExcludedNode excluded) := by
contactRedExcluded_disjoint	theorem	lean/class_ii_affine_shells.lean	302	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem contactRedExcluded_disjoint (contact : ContactKind) (excluded : ContactRedExcludedKind) : contactNode contact ≠ contactRedExcludedNode excluded := by
shellKind_card	theorem	lean/class_ii_affine_shells.lean	312	affine-catalogue	lean-declaration	affine,shell	theorem shellKind_card : Fintype.card ShellKind = 20 := by native_decide
shellHop_color_matches	theorem	lean/class_ii_affine_shells.lean	376	affine-catalogue	lean-declaration	affine,shell	theorem shellHop_color_matches (kind : ShellKind) (q : Int) : (shellNode (shellSourceKind kind) q).right = (shellHop kind).left := by
shellHop_from_explicit_signed_contact	theorem	lean/class_ii_affine_shells.lean	383	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem shellHop_from_explicit_signed_contact (kind : ShellKind) : ∃ contact : ContactKind, shellHop kind = contactNode contact ∨ shellHop kind = mirrorNode (contactNode contact) := by
shellNode_propagates	theorem	lean/class_ii_affine_shells.lean	412	affine-catalogue	lean-declaration	affine,shell	theorem shellNode_propagates (kind : ShellKind) (q : Int) : composeHop (shellNode (shellSourceKind kind) (q - 1)) (shellHop kind) = shellNode kind q := by
contactNode_in_restrictedH	theorem	lean/class_ii_affine_shells.lean	433	spectral+affine-catalogue+graph	lean-declaration	affine,contact,gap,shell	theorem contactNode_in_restrictedH (kind : ContactKind) (b c : ℝ) (hc : 1 < c) (hcb : c < b) (hgap : b - c < 1) : InRestrictedH (contactNode kind) b c := by
contactRedExcludedNode_in_restrictedH	theorem	lean/class_ii_affine_shells.lean	446	affine-catalogue+graph	lean-declaration	affine,contact,shell	theorem contactRedExcludedNode_in_restrictedH (kind : ContactRedExcludedKind) (b c : ℝ) (hc : 1 < c) : InRestrictedH (contactRedExcludedNode kind) b c := by
restrictedH_forces_bounded_x0	theorem	lean/class_ii_affine_shells.lean	459	spectral+affine-catalogue+window	lean-declaration	affine,gap,shell,window	theorem restrictedH_forces_bounded_x0 (node : ClassIINode) (b c : ℝ) (hc : 1 < c) (hcb : c < b) (hgap : 1 / 2 < b - c) (hx1lo : -2 ≤ node.x1) (hx1hi : node.x1 ≤ 2) (hx2lo : -1 ≤ node.x2) (hx2hi : node.x2 ≤ 1) (hright : node.right = 0 ∨ node.right = 1 ∨ node.right = 2) (hwindow : InRestrictedH node b c) : -2 ≤ node.x0 ∧ node.x0 ≤ 2 := by
dContFaceCandidate_window_iff	theorem	lean/class_ii_affine_shells.lean	505	affine-catalogue+window	lean-declaration	affine,shell,window	theorem dContFaceCandidate_window_iff (kind : DContFaceCandidateKind) (b c : ℝ) (hc : 1 < c) (hcb : c < b) : InRestrictedH (dContFaceCandidateNode kind) b c ↔ dContFaceCandidateAccepted kind = true := by
shellNode_in_open_signed_strip	theorem	lean/class_ii_affine_shells.lean	526	affine-catalogue+graph+window	lean-declaration	affine,edge,shell,strip	theorem shellNode_in_open_signed_strip (kind : ShellKind) (q : Int) (b c : ℝ) (hq : 4 ≤ q) (hbc : c < b) (hc : 1 < c) (hspan : (q : ℝ) * (b - c) < c) (hedge : ((q : ℝ) - 1) * (b - c) + 1 < c) : InOpenSignedStrip (shellNode kind q) b c := by
class_ii_window_bounds	theorem	lean/class_ii_affine_shells.lean	542	affine-catalogue+window	lean-declaration	affine,shell,window	theorem class_ii_window_bounds (a q b c : ℝ) (ha : 2 ≤ a) (hq : q ≤ a - 1) (hb : 0 < b) (hba : a < b) (hd : b^2 * (b - c) = a * b + 1) (hcscale : b^2 * c = a * b^2 + b) : q * (b - c) < c ∧ (q - 1) * (b - c) + 1 < c := by
class_ii_perron_window_bounds	theorem	lean/class_ii_affine_shells.lean	604	spectral+affine-catalogue+window	lean-declaration	affine,cubic,perron,shell,window	theorem class_ii_perron_window_bounds (a q beta : ℝ) (ha : 2 ≤ a) (hq : q ≤ a - 1) (hbeta : 0 < beta) (hbeta_a : a < beta) (hcubic : beta^3 = a * beta^2 + (a + 1) * beta + 1) : q * (beta - (a + 1 / beta)) < a + 1 / beta ∧ (q - 1) * (beta - (a + 1 / beta)) + 1 < a + 1 / beta := by
class_ii_perron_gap_lt_one	theorem	lean/class_ii_affine_shells.lean	626	spectral+affine-catalogue+number-theory	lean-declaration	affine,cubic,gap,perron,shell	theorem class_ii_perron_gap_lt_one (a beta : ℝ) (ha : 2 ≤ a) (hbeta : 0 < beta) (hcubic : beta^3 = a * beta^2 + (a + 1) * beta + 1) : beta - (a + 1 / beta) < 1 := by
class_ii_perron_gap_gt_half	theorem	lean/class_ii_affine_shells.lean	656	spectral+affine-catalogue+number-theory	lean-declaration	affine,cubic,gap,perron,shell	theorem class_ii_perron_gap_gt_half (a beta : ℝ) (ha : 2 ≤ a) (hbeta : 0 < beta) (hcubic : beta^3 = a * beta^2 + (a + 1) * beta + 1) : 1 / 2 < beta - (a + 1 / beta) := by
class_ii_perron_gap_gt_two_thirds	theorem	lean/class_ii_affine_shells.lean	701	spectral+affine-catalogue+number-theory	lean-declaration	affine,cubic,gap,perron,shell	theorem class_ii_perron_gap_gt_two_thirds (a beta : ℝ) (ha : 2 ≤ a) (hbeta : 0 < beta) (hcubic : beta^3 = a * beta^2 + (a + 1) * beta + 1) : 2 / 3 < beta - (a + 1 / beta) := by
class_ii_contactNode_valid	theorem	lean/class_ii_affine_shells.lean	746	affine-catalogue+graph+window	lean-declaration	affine,contact,cubic,shell,valid	theorem class_ii_contactNode_valid (kind : ContactKind) (a beta : ℝ) (ha : 2 ≤ a) (hbeta : 0 < beta) (hcubic : beta^3 = a * beta^2 + (a + 1) * beta + 1) : InRestrictedH (contactNode kind) beta (a + 1 / beta) := by
