status	bibkey	filename	sha256	origin_or_note
archived	CartonSudberyYassawi2026	arXiv_2606.30496_CartonSudberyYassawi2026_Pisot-numerations-topological-groups.pdf	b6f8e1fdae9d353a6110a938132c6f95b0524627e8333b53155f70d2f1fbb196	recovered from 2026-07-29 full mirror; originally arXiv:2606.30496
archived	CartonSudberyYassawi2026	arXiv_2606.30496_CartonSudberyYassawi2026_Pisot-numerations-topological-groups.txt	f41b5212f102b7914bcd87e38e61d88efc5028e56d841f837508f8cbb6591ab9	recovered extracted text from 2026-07-29 full mirror
archived	OpenAIUnitDistance2026	OpenAI-Research-2026_unit-distance-proof.pdf	62b5de8cacdfbc0f13ae1940aa81659cd233e6945b936612fbeab0ab8ab3d383	recovered from 2026-07-29 full mirror
archived	AlonEtAl2026UnitDistanceRemarks	OpenAI-Research-2026_unit-distance-remarks.pdf	7c2f90d0792d05503d326102321743340790209a12ceb9ead923f357df7be45f	recovered companion copy from 2026-07-29 full mirror
archived	Sawin2026ExplicitUnitDistance	arXiv_2605.20579_Sawin2026_explicit-lower-bound-unit-distance.pdf	e79b15f082f221ebf0b6ffd02ff13a6f016d973f2690de08cb6eb1d8a368d028	recovered from 2026-07-29 full mirror; originally arXiv:2605.20579
archived	AlonEtAl2026UnitDistanceRemarks	arXiv_2605.20695_AlonEtAl2026_Remarks-disproof-unit-distance.pdf	c00042707168d1f208e4830ebb9f80b17fdd1913c6e27a5ba4afd0a9aeaa4053	recovered from 2026-07-29 full mirror; originally arXiv:2605.20695
archived	LoridantThuswaldnerZhang2026	arXiv_2511.16442_LoridantThuswaldnerZhang2026_Neighbors-self-affine-tiles-Rauzy-fractals.pdf	c159cc85e8663d70222dacb49c4c10bbaa0ed12621cbf2c23099e327a7001197	recovered from 2026-07-29 full mirror; originally arXiv:2511.16442
archived	KloudaPelantova2009	arXiv_0812.0164_KloudaPelantova2009_Factor-complexity-non-simple-Parry.pdf	0518b47bfde71de86a471eb08fcf9a28a2c83a99099ceddcdfe97c58999896e3	downloaded 2026-08-01 from https://arxiv.org/pdf/0812.0164
archived	SirventSolomyak2002	2002_SirventSolomyak_Pure-discrete-spectrum-one-dimensional-substitution.pdf	ac0a0ece567b0cabcf791ef52a71805d4c07cf3fc708c415befd80811193e221	downloaded 2026-08-01 from Cambridge Core citation_pdf_url
archived	Bernat2007	2008_Bernat_Study-irreducible-balanced-pairs.pdf	720e85616dc2e8bff830e1efaf42adf2905a42d4538752a90cbceed5e45c8554	downloaded 2026-08-01 from Numdam DOI full text
